Window, Target Return, In-sample Mean, In-sample Covariance, Out-sample Mean, Out-sample Covariance
10, 0.05, 0.153656, 0.01835, 0.0141719, 0.100135
10, 0.055, 0.167176, 0.020054, 0.013628, 0.11796
10, 0.06, 0.12528, 0.0141113, -0.0405558, 0.11208
10, 0.065, 0.138005, 0.015208, -0.041723, 0.129469
10, 0.07, 0.150507, 0.0155329, -0.0426207, 0.143669
10, 0.075, 0.163206, 0.0161752, -0.0434257, 0.160161
10, 0.08, 0.175978, 0.0171572, -0.0442804, 0.179068
10, 0.085, 0.188714, 0.0184253, -0.045255, 0.200101
10, 0.09, 0.201363, 0.0199231, -0.0463602, 0.222971
10, 0.095, 0.213921, 0.0216067, -0.0475778, 0.247473
11, 0, 0.00476503, 0.000417263, 0.00662578, 0.000211702
11, 0.005, 0.0164951, 0.000572267, 0.0256586, 0.00135945
11, 0.01, 0.0281271, 0.000854963, 0.044199, 0.00474469
11, 0.015, 0.0396217, 0.00125216, 0.0622711, 0.0100666
11, 0.02, 0.0510004, 0.00179047, 0.0797718, 0.0168517
11, 0.025, 0.0622097, 0.00254369, 0.096207, 0.0239415
11, 0.03, 0.0732238, 0.00356176, 0.111632, 0.0306215
11, 0.035, 0.0841507, 0.00491115, 0.126553, 0.0368762
11, 0.04, 0.095225, 0.00674081, 0.141582, 0.0429556
11, 0.045, 0.106841, 0.00926193, 0.157578, 0.0497443
11, 0.05, 0.119462, 0.0126222, 0.175489, 0.058944
11, 0.055, 0.133246, 0.0166307, 0.195811, 0.0727415
11, 0.06, 0.14744, 0.0205025, 0.217598, 0.0922877
11, 0.065, 0.160199, 0.0231852, 0.237549, 0.114118
11, 0.07, 0.161246, 0.0187003, 0.237472, 0.114977
11, 0.075, 0.129705, 0.0176266, 0.196727, 0.157716
11, 0.08, 0.13995, 0.0181236, 0.211347, 0.172692
11, 0.085, 0.150231, 0.0185874, 0.225925, 0.187372
11, 0.09, 0.16061, 0.0192894, 0.24084, 0.204253
11, 0.095, 0.171025, 0.0202507, 0.255978, 0.223463
12, 0, 0.00430589, 0.000373326, 0.00275922, 0.000566403
12, 0.005, 0.0205412, 0.000534329, 0.00750543, 0.00520762
12, 0.01, 0.0363836, 0.000884224, 0.0130474, 0.0156843
12, 0.015, 0.0516426, 0.00140376, 0.0193148, 0.030213
